Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,0.0065,0.0068,0.0064,0.0065,0.0065,0.0081,0.0078,0.0084,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,FINN,COSECHA,0.3883,0.3441,0.3195,0.3076,0.3229,0.1317,0.1095,0.1416,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,JIBA,CHIPIRÓN,0.0023,0.0026,0.0025,0.0026,0.0026,0.0032,0.0017,0.0033,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,JIBA UNIFICADO,CHIPIRÓN,0.027,0.0291,0.0278,0.0285,0.0284,0.0357,0.0202,0.0317,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,MORROCOY,COSECHA,0.008,0.0095,0.0074,0.0068,0.0064,0.005,0,0,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,REDONDO,CRAVO NORTE,0.0946,0.0994,0.102,0.0975,0.1031,0.1505,0.1195,0.1693,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,REDONDO ESTE,CRAVO NORTE,0.0035,0.0036,0.0039,0.0041,0.004,0.0049,0.0047,0.0049,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,REX NE,COSECHA,0.1146,0.108,0.1052,0.1011,0.0951,0.0946,0.079,0.0924,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,TERECAY,COSECHA,0.1929,0.2039,0.2075,0.2256,0.2155,0.2175,0.157,0.1912,,,,
ARAUCA,TAME,6.390650479,-71.79178647,POINT (-71.79178647 6.390650479),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,ANDINA,CAPACHOS,4.4719,7.1989,6.4421,5.8783,2.0625,3.5783,5.9881,5.1616,,,,
ARAUCA,TAME,6.390650479,-71.79178647,POINT (-71.79178647 6.390650479),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CAPACHOS,CAPACHOS,0.6426,0,0.6579,0.5725,0.2048,0.9536,1.5613,1.2747,,,,
ATLANTICO,PONEDERA,10.59465102,-74.79847316,POINT (-74.79847316 10.59465102),LEWIS ENERGY COLOMBIA INC,MERECUMBE,SSJN-1,1.7214,0.0091,0.005,0.004,0,0,0,0,,,,
ATLANTICO,SABANALARGA,10.62250777,-74.95510542,POINT (-74.95510542 10.62250777),LEWIS ENERGY COLOMBIA INC,BULLERENGUE,SSJN-1,25.0511,26.7257,26.831,27.4578,27.5194,27.3113,27.2058,27.6796,,,,
BOLIVAR,CANTAGALLO,7.239229146,-74.10014043,POINT (-74.10014043 7.239229146),ECOPETROL S.A.,YARIGUÍ-CANTAGALLO,MAGDALENA MEDIO-YARIGUI-CANTAGALLO,4.2601,4.1712,5.1566,5.0079,5.3296,4.8002,4.3285,4.3676,,,,
BOLIVAR,CICUCO,9.235268598,-74.68840962,POINT (-74.68840962 9.235268598),HOCOL S.A.,CICUCO,CICUCO BOQUETE,1.592,1.5917,1.4809,1.4509,1.4329,1.3702,1.463,1.3846,,,,
BOLIVAR,TALAIGUA NUEVO,9.269516705,-74.58695233,POINT (-74.58695233 9.269516705),HOCOL S.A.,BOQUETE,CICUCO BOQUETE,0.1498,0.2054,0.1786,0.1267,0.1848,0.2203,0.1784,0.1301,,,,
BOLIVAR,TALAIGUA NUEVO,9.269516705,-74.58695233,POINT (-74.58695233 9.269516705),HOCOL S.A.,CICUCO,CICUCO BOQUETE,0.3664,0.441,0.464,0.2893,0.2731,0.3707,0.2831,0.344,,,,
BOYACA,CORRALES,5.82454582,-72.84544845,POINT (-72.84544845 5.82454582),UNION TEMPORAL OMEGA ENERGY,CORRALES,BUENAVISTA,4.04,4.0012,3.9967,4.0328,3.9668,3.9017,3.8202,3.8524,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,ABARCO,NARE,0.1083,0.132,0.1493,0.1697,0.1256,0.0592,0.075,0.0843,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),ECOPETROL S.A.,CAIPAL,PALAGUA,0.3588,0.3515,0.374,0.3433,0.3175,0.3685,0.3984,0.4222,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,GIRASOL,NARE,0.8101,0.7578,0.7,0.8355,0.771,0.5354,0.7328,0.8005,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,JAZMIN,NARE,1.5234,1.7139,1.607,1.506,1.3575,0.6592,1.4191,1.2938,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,MORICHE,NARE,0.7138,0.7436,0.7006,0.6987,0.6555,0.4006,0.684,0.6668,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),ECOPETROL S.A.,PALAGUA,PALAGUA,2.5677,2.5995,2.5425,2.5643,2.6551,2.7779,2.8308,2.7897,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,0.1857,0.2277,0.2403,0.2404,0.1829,0.1183,0.18,0.1884,,,,
BOYACA,PUERTO BOYACA,5.953466654,-74.4528581,POINT (-74.4528581 5.953466654),MANSAROVAR ENERGY COLOMBIA LTD,VELASQUEZ,GUAGUAQUI - TERAN,0.3892,0.431,0.4308,0.4451,0.4392,0.4131,0.4253,0.4026,,,,
BOYACA,SAN LUIS DE GACENO,4.798203543,-73.13397018,POINT (-73.13397018 4.798203543),NIKOIL ENERGY CORP,MEDINA,CÓNDOR,0.0198,0.0377,0.0386,0.0338,0.0365,0.0361,0.0194,0,,,,
BOYACA,TOPAGA,5.765350303,-72.83672958,POINT (-72.83672958 5.765350303),UNION TEMPORAL OMEGA ENERGY,BOLÍVAR,BUENAVISTA,0.0017,0.0019,0.002,0.002,0.002,0.0021,0.002,0.0019,,,,
