ITEM,Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Anio,Mes,Contrato,Campo,TipoProd,TipoHidrocarburo,PrecioHidrocarburoUSD,PorcRegalia,ProdGravableBlsKpc,VolumenRegaliaBlsKpc,RegaliasCOP,TrmPromedio,RegimenReg
1,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,NARE,NARE SUR,B,O,39.9145,0.2,5807.14,1161.428,153499542.44,3311.19,Ley 141 20%
2,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,NARE,UNDERRIVER,P,O,39.4264,0.06,31007.96,1860.4776,242882190.45,3311.19,Ley 756 8% variable
3,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1949,0.2,3053.79,610.758,8483495.9,3311.19,Ley 141 20%
4,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1949,0.12,3053.79,366.4548,5090097.83,3311.19,ARTICULO 39 LEY 756
5,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.3847,0.2,17598.22,3519.644,552231245.24,3311.19,Ley 141 20%
6,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.3847,0.12,17598.22,2111.7864,331338747.22,3311.19,ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,47.3847,0.06,23216.24,1392.9744,218557327.64,3311.19,Ley 756 8% variable
8,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,NARE,NARE SUR,B,O,27.188,0.2,5364.13,1072.826,99493483.51,3411.05,Ley 141 20%
9,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,NARE,UNDERRIVER,P,O,26.523,0.06,28541.89,1712.5134,154933277.79,3411.05,Ley 756 8% variable
10,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1172,0.2,2515.16,503.032,7064568.41,3411.05,Ley 141 20%
