ITEM,Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Anio,Mes,Contrato,Campo,TipoProd,TipoHidrocarburo,PrecioHidrocarburoUSD,PorcRegalia,ProdGravableBlsKpc,VolumenRegaliaBlsKpc,RegaliasCOP,TrmPromedio,RegimenReg
11,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1172,0.12,2515.16,301.8192,4238741.32,3411.05,ARTICULO 39 LEY 756
12,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,34.7535,0.2,16277.82,3255.564,385933848.96,3411.05,Ley 141 20%
13,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,34.7535,0.12,16277.82,1953.3384,231560309.76,3411.05,ARTICULO 39 LEY 756
14,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,34.7535,0.06,20274.26,1216.4556,144205855.59,3411.05,Ley 756 8% variable
15,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,NARE,NARE SUR,B,O,7.4664,0.2,5381.01,1076.202,31153471.47,3877.05,Ley 141 20%
16,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,NARE,UNDERRIVER,P,O,6.8759,0.06,30141.66,1808.4996,48211358.63,3877.05,Ley 756 8% variable
17,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,5.124,0.2,2851.69,570.338,11330336.75,3877.05,Ley 141 20%
18,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,5.124,0.12,2851.69,342.2028,6798202.26,3877.05,ARTICULO 39 LEY 756
19,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,14.9013,0.2,17461.75,3492.35,201763833.96,3877.05,Ley 141 20%
20,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,14.9013,0.12,17461.75,2095.41,121058300.39,3877.05,ARTICULO 39 LEY 756
21,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,14.9013,0.06,24466.12,1467.9672,84808994.01,3877.05,Ley 756 8% variable
22,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,NARE,NARE SUR,B,O,1.2785,0.2,5739.51,1147.902,5837188.55,3977.39,Ley 141 20%
23,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,NARE,UNDERRIVER,P,O,1,0.06,31646.05,1898.763,7552120.97,3977.39,Ley 756 8% variable
24,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1636,0.2,1228.72,245.744,4069584.74,3977.39,Ley 141 20%
25,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1636,0.12,1228.72,147.4464,2441750.87,3977.39,ARTICULO 39 LEY 756
26,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,8.8771,0.2,17301,3460.2,122171664.67,3977.39,Ley 141 20%
27,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,8.8771,0.12,17301,2076.12,73302998.8,3977.39,ARTICULO 39 LEY 756
28,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,8.8771,0.06,16371.78,982.3068,34682982.77,3977.39,Ley 756 8% variable
29,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,NARE,NARE SUR,B,O,8.5007,0.2,6012.21,1202.442,39436869.9,3858.19,Ley 141 20%
30,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,NARE,UNDERRIVER,P,O,8.0965,0.06,31043.81,1862.6286,58184485.45,3858.19,Ley 756 8% variable
31,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2053,0.2,1153.21,230.642,3742130.8,3858.19,Ley 141 20%
32,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.2053,0.12,1153.21,138.3852,2245278.61,3858.19,ARTICULO 39 LEY 756
33,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,15.9332,0.2,17674.03,3534.806,217296235.31,3858.19,Ley 141 20%
34,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,15.9332,0.12,17674.03,2120.8836,130377741.19,3858.19,ARTICULO 39 LEY 756
35,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,5,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,15.9332,0.06,10358.25,621.495,38205356.52,3858.19,Ley 756 8% variable
36,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,NARE,NARE SUR,B,O,12.5451,0.2,5002.19,1000.438,46457281.35,3701.6,Ley 141 20%
37,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,NARE,UNDERRIVER,P,O,12.0173,0.06,24977.94,1498.6764,66665978.51,3701.6,Ley 756 8% variable
38,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0262,0.2,2609.01,521.802,7776614.27,3701.6,Ley 141 20%
39,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0262,0.12,2609.01,313.0812,4665968.7,3701.6,ARTICULO 39 LEY 756
40,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,20.0335,0.2,16994.4,3398.88,252047357.52,3701.6,Ley 141 20%
41,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,20.0335,0.12,16994.4,2039.328,151228414.51,3701.6,ARTICULO 39 LEY 756
42,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,6,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,20.0335,0.06,5983.25,358.995,26621634.42,3701.6,Ley 756 8% variable
43,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,NARE,NARE SUR,B,O,20.1364,0.2,5234.02,1046.804,77103744.11,3657.87,Ley 141 20%
44,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,NARE,UNDERRIVER,P,O,19.5261,0.06,25985.41,1559.1246,111358814.69,3657.87,Ley 756 8% variable
45,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1097,0.2,2648.92,529.784,7964109.39,3657.87,Ley 141 20%
46,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1097,0.12,2648.92,317.8704,4778465.73,3657.87,ARTICULO 39 LEY 756
47,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,29.0004,0.2,17255.63,3451.126,366094386.57,3657.87,Ley 141 20%
48,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,29.0004,0.12,17255.63,2070.6756,219656632.26,3657.87,ARTICULO 39 LEY 756
49,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,7,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,29.0004,0.06,4922,295.32,31327454.87,3657.87,Ley 756 8% variable
50,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,NARE,NARE SUR,B,O,22.8223,0.2,4712.66,942.532,81375805.08,3783.03,Ley 141 20%
51,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,NARE,UNDERRIVER,P,O,22.1037,0.06,26899.15,1613.949,134956737.2,3783.03,Ley 756 8% variable
52,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0436,0.2,3050.76,610.152,9333531.69,3783.03,Ley 141 20%
53,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0436,0.12,3050.76,366.0912,5600119.09,3783.03,ARTICULO 39 LEY 756
54,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,31.6906,0.2,16097.79,3219.558,385981509.36,3783.03,Ley 141 20%
55,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,31.6906,0.12,16097.79,1931.7348,231588905.79,3783.03,ARTICULO 39 LEY 756
56,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,8,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,31.6906,0.06,6120.18,367.2108,44023614.03,3783.03,Ley 756 8% variable
57,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,NARE,NARE SUR,B,O,20.6796,0.2,4422.13,884.426,68589933.21,3750.22,Ley 141 20%
58,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,NARE,UNDERRIVER,P,O,20.1932,0.06,22069.62,1324.1772,100278539.04,3750.22,Ley 756 8% variable
59,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.8899,0.2,2707.17,541.434,7898428.53,3750.22,Ley 141 20%
60,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.8899,0.12,2707.17,324.8604,4739057.27,3750.22,ARTICULO 39 LEY 756
61,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,29.6004,0.2,15565.25,3113.05,345573491.59,3750.22,Ley 141 20%
62,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,29.6004,0.12,15565.25,1867.83,207344095.22,3750.22,ARTICULO 39 LEY 756
63,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,9,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,29.6004,0.06,5739.64,344.3784,38228761.52,3750.22,Ley 756 8% variable
64,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,NARE,NARE SUR,B,O,19.2348,0.2,4808.15,961.63,70912695.89,3833.79,Ley 141 20%
65,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,NARE,UNDERRIVER,P,O,17.9143,0.06,25704.55,1542.273,105922791.71,3833.79,Ley 756 8% variable
66,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1693,0.2,667.12,133.424,2132678.32,3833.79,Ley 141 20%
67,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1693,0.12,667.12,80.0544,1279607.2,3833.79,ARTICULO 39 LEY 756
68,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,27.6591,0.2,16378.98,3275.796,347362724.57,3833.79,Ley 141 20%
69,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,27.6591,0.12,16378.98,1965.4776,208417634.96,3833.79,ARTICULO 39 LEY 756
70,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,10,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,27.6591,0.06,13046.45,782.787,83006092.21,3833.79,Ley 756 8% variable
71,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,NARE,NARE SUR,B,O,23.4009,0.2,4224.18,844.836,72864620.39,3685.63,Ley 141 20%
72,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,NARE,UNDERRIVER,P,O,22.0256,0.06,25580.32,1534.8192,124593878.54,3685.63,Ley 756 8% variable
73,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0673,0.2,3245.99,649.198,9731843.11,3685.63,Ley 141 20%
74,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.0673,0.12,3245.99,389.5188,5839106.07,3685.63,ARTICULO 39 LEY 756
75,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,31.6829,0.2,15730.39,3146.078,367372079.35,3685.63,Ley 141 20%
76,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,31.6829,0.12,15730.39,1887.6468,220423247.74,3685.63,ARTICULO 39 LEY 756
77,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,11,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,31.6829,0.06,13866.26,831.9756,97150994.32,3685.63,Ley 756 8% variable
78,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,NARE,NARE SUR,QB,G,3.3748,0.2,389.18,77.836,910486.22,3466.13,Ley 141 20%
79,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,NARE,NARE SUR,B,O,29.7168,0.2,3796.74,759.348,78214583.86,3466.13,Ley 141 20%
80,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,NARE,UNDERRIVER,QB,G,3.3748,0.064,2659.22,170.19008,1990797.68,3466.13,Ley 756 8% variable
81,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,NARE,UNDERRIVER,P,O,28.344,0.06,25276.58,1516.5948,148996322.35,3466.13,Ley 756 8% variable
82,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.4122,0.2,3179.5,635.9,9724982.85,3466.13,Ley 141 20%
83,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.4122,0.12,3179.5,381.54,5834989.96,3466.13,ARTICULO 39 LEY 756
84,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,38.0266,0.2,16058.85,3211.77,423327791.18,3466.13,Ley 141 20%
85,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,38.0266,0.12,16058.85,1927.062,253996674.88,3466.13,ARTICULO 39 LEY 756
86,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,12,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,38.0266,0.06,12905.42,774.3252,102060040.42,3466.13,Ley 756 8% variable
87,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1949,0.2,1907.95,381.59,5300327.1,3311.19,Ley 141 20%
88,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1949,0.12,1907.95,228.954,3180196.46,3311.19,ARTICULO 39 LEY 756
89,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.3847,0.2,7604.77,1520.954,238637294.15,3311.19,Ley 141 20%
90,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.3847,0.12,7604.77,912.5724,143182376.67,3311.19,ARTICULO 39 LEY 756
91,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,47.3847,0.06,10032.5,601.95,94445801.3,3311.19,Ley 756 8% variable
92,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1172,0.2,1628.29,325.658,4573532.73,3411.05,Ley 141 20%
93,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1172,0.12,1628.29,195.3948,2744119.7,3411.05,ARTICULO 39 LEY 756
94,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,34.7535,0.2,7067.18,1413.436,167557079.66,3411.05,Ley 141 20%
95,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,34.7535,0.12,7067.18,848.0616,100534247.83,3411.05,ARTICULO 39 LEY 756
96,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,34.7535,0.06,8802.28,528.1368,62608465.99,3411.05,Ley 756 8% variable
97,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,5.124,0.2,1574.55,314.91,6256002.77,3877.05,Ley 141 20%
98,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,5.124,0.12,1574.55,188.946,3753602.03,3877.05,ARTICULO 39 LEY 756
99,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,14.9013,0.2,7183.26,1436.652,82999818.16,3877.05,Ley 141 20%
100,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,14.9013,0.12,7183.26,861.9912,49799891.01,3877.05,ARTICULO 39 LEY 756
101,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,14.9013,0.06,10064.65,603.879,34887952.89,3877.05,Ley 756 8% variable
102,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1636,0.2,836.36,167.272,2770067.89,3977.39,Ley 141 20%
103,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1636,0.12,836.36,100.3632,1662040.79,3977.39,ARTICULO 39 LEY 756
104,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,8.8771,0.2,6399,1279.8,45186780.09,3977.39,Ley 141 20%
105,ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),2020,4,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,8.8771,0.12,6399,767.88,27112068.06,3977.39,ARTICULO 39 LEY 756
